# time x y z qx qy qz qw
0 -8.08568701344816 -2.668167880832618 -5.6765190431973895 -0.7071067811865475 1.976400500692133e-17 1.1183549434116575e-17 0.7071067811865476
1 -7.029774238176761 -2.631280588776648 -5.713483470606385 -0.654279126375952 0.016367179028860143 0.0005967727112550959 0.7560757793380829
2 -6.0133380706751725 -2.656083533234884 -5.69591378809348 -0.5349189052748524 0.05897867498994369 0.03107270751396174 0.8422694150470714
3 -5.044883409698289 -2.6910940872072584 -5.930215141108615 -0.5079723580135411 0.17289735613193957 0.017668903318806002 0.843657749085646
4 -4.0769707032951965 -2.7601053170884726 -6.3416833406760995 -0.4597373747045079 0.17567995196425712 0.03908711922974444 0.8696265278198239
5 -3.0581153283139386 -2.8544758376742716 -6.6287906252345 -0.443500860672979 0.196731330786188 -0.15556993172094571 0.8604660170011147
6 -2.244288252020943 -3.2881167939820197 -6.934860293492666 -0.476279672876273 0.1599864101377446 -0.2295291181194953 0.8335936694285739
7 -2.2462382116678583 -3.2955471682650024 -6.9161532128480445 -0.2550735841952651 0.5287687397797011 -0.5787999592549088 0.565978527546835
8 -2.1635626739442575 -3.363292495583794 -6.89408838605404 0.22277897740329902 -0.014465928437889056 -0.7622990050921997 0.6075034905060323
9 -2.344683943205832 -4.324766820718228 -7.29285691609826 0.3403029207591035 0.03049863464751871 -0.6949936194199665 0.6326512660012585
10 -2.295666830989768 -5.165269786075179 -7.793245946706714 -0.46678285199942127 -0.09845584948450391 0.7308987185980702 -0.4880648296417906
11 -2.3589237867172415 -5.7703368051057895 -8.535816424152369 0.5353952239711025 0.061854612882947364 -0.6542059145508196 0.5306039788587713
12 -2.3228898848294945 -5.803016833514479 -8.500533049312176 0.06207870619062776 -0.27530765186840317 -0.8121210405405266 0.5106969224224625
13 -2.7823480679109482 -6.565623501377055 -8.354785152225453 -0.06410613842358545 -0.12423351874491961 -0.8063230725722886 0.5747169202957706
14 -3.13113406566899 -7.444647455913872 -8.087713333684757 -0.2896611330495143 -0.11354810208003742 -0.7412732845905392 0.5947412664906028
15 -3.3488031125081155 -8.303916089105698 -7.494488529861877 -0.3689891228936798 -9.625389577557103e-05 -0.7491819612497388 0.5500667294604671
16 -3.465345584880438 -9.129139414805882 -6.93267255841141 -0.3805286053459004 0.0769812218782247 -0.7363890339619928 0.5540785708292302
17 -3.604573409069007 -10.055957590732648 -6.454675712821475 -0.5022277674643902 0.0013712522045893263 -0.693606005529558 0.5164069116001994
18 -3.601029907126315 -10.771175905734175 -5.747253989132161 -0.455627212933051 0.04445622278567421 -0.7210704929881002 0.520081562096167
19 -3.6258499698469215 -10.810351213145358 -5.6775861072292315 0.09939282001778561 -0.4988851700933395 -0.49321693695566643 0.705671104332551
20 -3.607176950151143 -11.602353984885003 -5.0464393316559395 0.09843749316420475 -0.4441551998882741 -0.5466640638636953 0.7029897720676909
21 -3.5844520265232043 -11.604854817155822 -5.069121737337219 0.27671610167499433 0.7839073829992789 0.4548493104450267 -0.3194205984915497
22 -4.217519614352128 -11.335698547924713 -4.323917177608736 0.10979750123968242 0.8624407133116808 0.3586271613963662 -0.3398927534572426
23 -4.240591647326125 -11.350031850035215 -4.260224951521939 0.4004081934914092 0.31275897432791894 0.8458749046761844 -0.16232913540504754
24 -4.919777884694706 -11.40769880573321 -3.4404244196804563 0.5304129138808744 0.2936711568893361 0.7951013854930837 0.015270205848577386
25 -5.376054379979919 -11.052304759281142 -2.6876709474013425 0.6006136835147033 0.2437998099556057 0.7582829965534151 0.06951081195385335
26 -5.707585853193738 -10.681685647052554 -1.783070205130307 0.5888204036053281 0.22693314742407014 0.7444495920268778 0.21814372287388767
